city,status,numberRooms,numberBathrooms,numberBalconies,houseSpace,elevator,carParking,heating,featurePlus,featurePlus2,Bldg_A,Bldg_B,MedstatusHouseSpace,city_encoded,priceUS
1,2,2,2,1,110.0,0,0,0,1.0,1.5,0,1,130.0,1508.2965041390216,400.0
1,2,1,1,0,0.0,1,1,0,1.0,1.0,0,0,130.0,1508.2965041390216,350.0
1,2,3,3,3,200.0,0,1,0,1.0,2.0,0,3,130.0,1508.2965041390216,390.0
7,1,1,1,1,0.0,1,1,0,1.0,2.0,1,0,100.0,2222.9116461731846,300.0
1,2,2,1,1,88.0,1,1,0,0.5,1.0,0,1,130.0,1508.2965041390216,360.0
1,2,2,1,1,0.0,0,0,0,0.5,1.0,0,1,130.0,1508.2965041390216,390.0
2,2,3,1,0,140.0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,130.0,2809.5507241955816,255.0
1,1,3,3,2,0.0,1,1,1,1.0,1.6666666666666667,2,0,100.0,1508.2965041390216,850.0
1,1,2,1,1,100.0,1,1,1,0.5,1.0,1,0,100.0,1508.2965041390216,650.0
1,2,3,2,1,160.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,600.0
1,1,2,2,1,120.0,1,1,0,1.0,1.5,1,0,100.0,1508.2965041390216,600.0
1,2,1,1,0,45.0,1,1,0,1.0,1.0,0,0,130.0,1508.2965041390216,340.0
1,2,3,2,1,170.0,1,1,1,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,500.0
1,1,2,1,1,118.0,1,1,0,0.5,1.0,1,0,100.0,1508.2965041390216,600.0
1,1,1,1,1,0.0,1,1,0,1.0,2.0,1,0,100.0,1508.2965041390216,550.0
1,1,3,2,1,140.0,1,1,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,700.0
1,1,2,3,0,0.0,1,1,0,1.5,1.5,0,0,100.0,1508.2965041390216,570.0
1,2,3,3,1,155.0,1,1,0,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,500.0
1,2,1,2,0,0.0,0,0,0,2.0,2.0,0,0,130.0,1508.2965041390216,330.0
1,1,3,2,2,145.0,0,1,0,0.6666666666666666,1.3333333333333333,2,0,100.0,1508.2965041390216,800.0
1,2,3,3,1,0.0,0,1,0,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,1000.0
